

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-04-12T14:47:45PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J100000.08+492438.6|150.00035 |  49.41075 |*|251746| 0.839734 |SLS |20.0g|  0.000|8|0|17|5|5|4|0
2|WISEA J100000.86+542431.5|150.00360 |  54.40876 |QSO|204278| 0.681398 |SLS |19.3g|  0.000|33|0|47|11|16|8|0
3|WISEA J100000.91+514416.6|150.00380 |  51.73797 |QSO|370184| 1.234800 |SLS |19.0g|  0.000|34|0|43|12|16|8|0
4|WISEA J100000.99+322409.3|150.00415 |  32.40261 |*|163624| 0.545790 |SUN |20.4g|  0.000|8|0|21|6|6|4|0
5|WISEA J100000.99+453046.4|150.00416 |  45.51290 |QSO|  -821|-0.002737 |SLS |20.6g|  0.000|32|0|38|7|14|8|0
6|WISEA J100001.38+540646.8|150.00556 |  54.11317 |*|198810| 0.663158 |SLS |21.5g|  0.000|4|0|23|6|4|4|0
7|WISEA J100001.78+594344.5|150.00752 |  59.72904 |QSO|1052160| 3.509627 |SLS |20.9g|  0.000|27|0|38|7|13|8|0
8|WISEA J100002.69+500032.0|150.01123 |  50.00891 |QSO|590394| 1.969342 |SLS |19.6g|  0.000|33|0|44|9|14|8|0
9|B2 0957+30|150.01342 |  30.32358 |QSO|274010| 0.914000 |UUN |20.0R|  0.000|12|0|9|5|1|0|5
10|WISEA J100003.73+313145.7|150.01555 |  31.52938 |QSO| 96176| 0.320807 |SLS |17.6g|  0.000|32|0|47|12|12|8|0
11|SDSS J100004.09+304421.0|150.01708 |  30.73918 |QSO|484441| 1.615922 |SLS |21.0g|  0.000|13|0|13|7|6|4|0
12|SDSS J100004.82+444334.2|150.02010 |  44.72617 |*|698520| 2.330012 |SLS |21.3g|  0.000|10|0|5|4|4|4|0
13|WISEA J100005.13+324025.0|150.02139 |  32.67360 |QSO|222719| 0.742911 |SLS |19.9g|  0.000|13|0|21|7|6|4|0
14|WISEA J100005.47+504556.8|150.02282 |  50.76581 |QSO|650362| 2.169375 |SLS |18.2g|  0.000|33|0|42|9|14|8|0
